Item,Pallet No.,SeriBl No,Pmax(W),Voc(V),Isc(B),Ipm(B),Vpm(V),FF,Order,Pallet Order,Exclude,UUID,Inverter,String
249,7,H1NE07891,332,70.4,6.035,5.618,59.1,78.11,391,9,0,747,2,B8
250,7,H1NE07898,335.6,70.7,6.091,5.656,59.35,77.91,1814,9,0,750,2,B8
251,7,H1NE07901,332.2,70.5,6.045,5.621,59.1,77.94,527,9,0,753,2,B8
252,7,H1NE07899,334.8,70.8,6.072,5.65,59.26,77.9,1539,9,0,756,2,B8
253,7,H1NE07890,335.1,70.6,6.083,5.653,59.29,78.03,1669,9,0,759,2,B9
254,7,H1NE07903,330.5,70.7,6.052,5.613,58.87,77.29,202,9,0,762,2,B9
255,7,H1NE07889,335.6,70.7,6.084,5.66,59.29,78.01,1954,9,0,765,2,B9
256,7,H1NE07907,332.7,70.6,6.073,5.622,59.19,77.6,569,9,0,768,2,B9
257,7,H1NE07887,335.4,70.6,6.09,5.659,59.27,77.98,1920,9,0,771,2,B9
258,7,H1NE07906,332.9,70.7,6.031,5.62,59.22,78.11,499,9,0,774,2,B9
259,7,H1NE07885,336.5,70.8,6.09,5.664,59.41,78.05,2054,9,0,777,2,B9
260,7,H1NE07882,336.1,70.8,6.093,5.665,59.33,77.96,2072,9,0,780,2,B9
261,7,H1NE07909,332.9,70.7,6.066,5.624,59.2,77.63,630,9,0,783,2,B9
262,7,H1NE07911,332.7,70.6,6.062,5.626,59.13,77.69,685,9,0,786,2,B9
263,7,H1NE07876,335.2,70.8,6.071,5.652,59.31,78.03,1636,9,0,789,2,B9
264,7,H1NE07912,332.8,70.7,6.061,5.621,59.21,77.67,534,9,0,792,2,B9
265,7,H1NE07913,332.3,70.5,6.077,5.622,59.1,77.51,559,9,0,795,2,B10
266,7,H1NE07860,334.5,70.7,6.069,5.642,59.28,77.92,1139,9,0,798,2,B10
267,7,H1NE07874,333.1,70.6,6.076,5.648,58.98,77.7,1430,9,0,801,2,B10
268,7,H1NE07862,334.5,70.7,6.063,5.649,59.22,77.99,1486,9,0,804,2,B10
269,7,H1NE07859,334.1,70.8,6.068,5.647,59.16,77.8,1393,9,0,807,2,B10
270,7,H1NE07873,333.2,70.5,6.065,5.655,58.91,77.9,1752,9,0,810,2,B10
271,7,H1NE07861,331.5,70.6,6.032,5.603,59.17,77.86,30,9,0,813,2,B10
272,7,H1NE07883,334.8,70.8,6.082,5.661,59.14,77.8,1977,9,0,816,2,B10
273,7,H1NE07845,331.2,70.5,6.072,5.602,59.12,77.31,23,9,0,819,2,B10
274,7,H1NE07884,334.6,70.7,6.074,5.658,59.14,77.89,1873,9,0,822,2,B10
275,7,H1NE07863,332.2,70.6,6.02,5.604,59.27,78.12,41,9,0,825,2,B10
276,7,H1NE07875,334.7,70.7,6.085,5.66,59.14,77.76,1942,9,0,828,2,B10
277,7,H1NE07879,335.3,70.8,6.085,5.661,59.23,77.84,1981,9,0,831,2,B11
278,7,H1NE07881,335.1,70.7,6.074,5.665,59.15,78.02,2067,9,0,834,2,B11
279,7,H1NE07865,331.9,70.5,6.031,5.607,59.19,78.02,72,9,0,837,2,B11
280,7,GZNE29174,336,70.7,6.081,5.663,59.33,78.13,2031,9,0,840,2,B11
