Item,Pallet No.,Serial No,Pmax(W),Voc(V),Isc(A),Ipm(A),Vpm(V),FF,Order,Pallet Order,Exclude,UUID,Inverter,String
1122,29,H1NE07671,334.1,70.8,6.07,5.656,59.06,77.72,1796,32,0,3366,01,N13
1123,29,H1NE07674,332.6,70.6,6.037,5.622,59.17,78.06,566,32,0,3369,01,N02
1124,29,H1NE07673,332.8,70.7,6.071,5.658,58.82,77.53,1863,32,0,3372,01,N11
1125,29,H1NE07567,331.5,70.7,6.065,5.61,59.09,77.27,132,32,0,3375,01,N05
1126,29,H1NE07645,334.1,70.8,6.077,5.646,59.18,77.61,1338,32,0,3378,01,N11
1127,29,H1NE07559,333.7,70.7,6.092,5.63,59.27,77.49,779,32,0,3381,01,N05
1128,29,H1NE07646,334.3,70.9,6.073,5.646,59.21,77.66,1341,32,0,3384,01,N11
1129,29,H1NE07624,332.9,70.7,6.068,5.617,59.27,77.6,362,32,0,3387,01,N05
1130,29,H1NE07647,334.7,70.9,6.076,5.653,59.2,77.72,1667,32,0,3390,01,N11
1131,29,H1NE07627,333,70.8,6.063,5.614,59.32,77.58,257,32,0,3393,01,N05
1132,29,H1NE07648,335,70.9,6.088,5.654,59.25,77.66,1720,32,0,3396,01,N11
1133,29,H1NE07628,332.9,70.8,6.054,5.609,59.35,77.72,122,32,0,3399,01,N08
1134,29,H1NE07649,334.4,70.8,6.08,5.654,59.15,77.68,1714,32,0,3402,01,N11
1135,29,H1NE07570,332.2,70.8,6.038,5.607,59.24,77.74,76,32,0,3405,01,N08
1136,29,H1NE07650,334.8,70.9,6.095,5.652,59.23,77.49,1631,32,0,3408,01,N11
1137,29,H1NE07651,335.1,70.9,6.083,5.659,59.21,77.72,1916,32,0,3411,01,N11
1138,29,H1NE07568,332.7,70.7,6.072,5.619,59.22,77.56,448,32,0,3414,01,N05
1139,29,H1NE07642,334.1,70.8,6.08,5.655,59.07,77.58,1756,32,0,3417,01,N11
1140,29,H1NE07630,331.2,70.7,6.052,5.608,59.05,77.41,85,32,0,3420,01,N08
1141,29,H1NE07653,334.9,70.9,6.078,5.648,59.29,77.73,1441,32,0,3423,01,N11
1142,29,H1NE07633,332.5,70.7,6.049,5.611,59.26,77.76,168,32,0,3426,01,N05
